"","Team","S","Kills","Errors","Total.Attacks","Hitting.Pct.","X","Y","Wins","Losses","Win.Pct","Ace.Pct","Serving.Error.Pct"
"1","A&M-Corpus Christi",121,1691,687,4445,0.226,0.380427446569179,0.154555680539933,13,20,0.394,0.061,0.104
"2","Abilene Christian",103,1264,607,3675,0.179,0.343945578231293,0.165170068027211,7,19,0.269,0.062,0.085
"3","Air Force",120,1441,619,3888,0.211,0.370627572016461,0.159207818930041,15,15,0.5,0.064,0.127
"4","Akron",108,1277,671,3954,0.153,0.322964087000506,0.169701568032372,6,23,0.207,0.057,0.081
"5","Alabama",110,1355,681,3997,0.169,0.339004253189892,0.170377783337503,10,20,0.333,0.086,0.149
"6","Alabama A&M",111,1039,631,3306,0.123,0.314277071990321,0.190865093768905,7,26,0.212,0.067,0.074
"7","Alabama St.",124,1437,632,3795,0.212,0.378656126482213,0.166534914361001,20,15,0.571,0.086,0.091
"8","Alcorn",98,859,576,2945,0.096,0.291680814940577,0.195585738539898,5,24,0.172,0.082,0.115
"9","American",110,1312,547,3793,0.202,0.34590034273662,0.144213023991563,15,15,0.5,0.064,0.079
"10","App State",114,1378,502,3879,0.226,0.355246197473576,0.129414797628255,18,10,0.643,0.078,0.082
"11","Arizona",121,1506,589,4054,0.226,0.371484953132708,0.145288603848051,16,15,0.516,0.061,0.106
"12","Arizona St.",124,1496,565,4214,0.221,0.35500711912672,0.134076886568581,13,19,0.406,0.058,0.095
"13","Ark.-Pine Bluff",115,1240,646,3943,0.151,0.314481359371037,0.163834643672331,9,22,0.29,0.07,0.105
"14","Arkansas",109,1486,497,3874,0.255,0.383582860092927,0.128291171915333,21,9,0.7,0.059,0.099
"15","Arkansas St.",118,1410,650,4086,0.186,0.345080763582966,0.159079784630445,9,22,0.29,0.065,0.083
"16","Army West Point",103,1390,630,3864,0.197,0.359730848861284,0.16304347826087,18,9,0.667,0.056,0.081
"17","Auburn",122,1505,581,3933,0.235,0.382659547419273,0.147724383422324,22,9,0.71,0.066,0.1
"18","Austin Peay",105,1330,571,3629,0.209,0.366492146596859,0.157343620832185,12,15,0.444,0.064,0.059
"19","Ball St.",126,1725,553,4681,0.25,0.368511001922666,0.118137150181585,24,9,0.727,0.058,0.063
"20","Baylor",117,1581,581,3872,0.258,0.408316115702479,0.150051652892562,25,7,0.781,0.057,0.094
"21","Belmont",118,1390,626,3992,0.191,0.348196392785571,0.156813627254509,8,23,0.258,0.064,0.088
"22","Bethune-Cookman",104,1042,541,3220,0.156,0.32360248447205,0.168012422360248,9,21,0.3,0.056,0.086
"23","Binghamton",94,1162,402,3086,0.246,0.376539209332469,0.130265716137395,17,9,0.654,0.073,0.081
"24","Boise St.",113,1428,628,3840,0.208,0.371875,0.163541666666667,15,14,0.517,0.07,0.07
"25","Boston College",142,1847,764,4641,0.233,0.397974574445163,0.164619694031459,24,13,0.649,0.071,0.083
"26","Bowling Green",118,1586,600,4308,0.229,0.368152274837512,0.139275766016713,22,10,0.688,0.07,0.086
"27","Bradley",120,1437,672,4322,0.177,0.332484960666358,0.155483572420176,10,21,0.323,0.055,0.093
"28","Brown",97,1225,421,3251,0.247,0.376807136265764,0.12949861581052,15,10,0.6,0.068,0.082
"29","Bryant",113,1402,743,3874,0.17,0.361899845121322,0.191791430046464,19,12,0.613,0.063,0.059
"30","Bucknell",104,1244,560,3733,0.183,0.333244039646397,0.15001339405304,15,11,0.577,0.063,0.095
"31","Buffalo",120,1631,637,4380,0.227,0.372374429223744,0.145433789954338,19,14,0.576,0.075,0.112
"32","Butler",114,1388,599,4257,0.185,0.32605120977214,0.140709419779187,16,15,0.516,0.05,0.101
"33","BYU",98,1373,422,3194,0.298,0.429868503443957,0.132122730118973,22,7,0.759,0.065,0.077
"34","Cal Poly",112,1448,567,3768,0.234,0.384288747346072,0.150477707006369,17,13,0.567,0.072,0.105
"35","Cal St. Fullerton",107,1275,545,3911,0.187,0.326003579647149,0.139350549731526,13,15,0.464,0.055,0.08
"36","California",112,1281,611,3738,0.179,0.342696629213483,0.163456393793472,7,23,0.233,0.062,0.074
"37","California Baptist",95,1184,526,3398,0.194,0.348440258975868,0.154796939376104,12,14,0.462,0.057,0.082
"38","Campbell",116,1508,598,4173,0.218,0.361370716510903,0.143302180685358,19,11,0.633,0.065,0.117
"39","Canisius",104,1267,561,3830,0.184,0.330809399477807,0.146475195822454,13,15,0.464,0.081,0.078
"40","Central Ark.",116,1450,635,4035,0.202,0.359355638166047,0.157372986369269,19,11,0.633,0.074,0.07
"41","Central Conn. St.",92,1104,518,3120,0.188,0.353846153846154,0.166025641025641,12,14,0.462,0.058,0.054
"42","Central Mich.",117,1537,581,4385,0.218,0.350513112884835,0.132497149372862,20,12,0.625,0.053,0.08
"43","Charleston So.",124,1566,661,4323,0.209,0.362248438584316,0.152903076567199,15,16,0.484,0.066,0.081
"44","Charlotte",102,1271,455,3291,0.248,0.386204800972349,0.138255849285931,11,16,0.407,0.061,0.084
"45","Chattanooga",129,1557,623,4655,0.201,0.334479054779807,0.133834586466165,17,16,0.515,0.064,0.047
"46","Chicago St.",84,1014,499,2975,0.173,0.340840336134454,0.167731092436975,8,15,0.348,0.057,0.081
"47","Cincinnati",112,1359,570,3799,0.208,0.357725717294025,0.150039484074757,11,19,0.367,0.064,0.079
"48","Clemson",122,1575,680,4288,0.209,0.367304104477612,0.158582089552239,13,18,0.419,0.07,0.098
"49","Cleveland St.",120,1351,559,4245,0.187,0.318256772673734,0.13168433451119,14,17,0.452,0.063,0.085
"50","Coastal Carolina",114,1430,544,3765,0.235,0.379814077025232,0.144488711819389,17,13,0.567,0.066,0.113
"51","Col. of Charleston",109,1387,547,3912,0.215,0.354550102249489,0.139826175869121,14,16,0.467,0.057,0.063
"52","Colgate",108,1393,452,3662,0.257,0.380393227744402,0.123429819770617,24,6,0.8,0.062,0.098
"53","Colorado",114,1469,498,3930,0.247,0.373791348600509,0.126717557251908,20,11,0.645,0.057,0.081
"54","Colorado St.",114,1449,477,3634,0.267,0.39873417721519,0.131260319207485,19,11,0.633,0.055,0.089
"55","Columbia",83,937,471,2637,0.177,0.355328024270004,0.178612059158134,6,17,0.261,0.072,0.128
"56","Coppin St.",133,1535,694,4325,0.194,0.354913294797688,0.160462427745665,23,11,0.676,0.094,0.094
"57","Cornell",83,1001,413,2803,0.21,0.357117374241884,0.147342133428469,6,17,0.261,0.086,0.128
"58","Creighton",119,1713,564,4322,0.266,0.396344285053216,0.130495141138362,27,5,0.844,0.066,0.071
"59","CSU Bakersfield",118,1316,656,3855,0.171,0.341374837872892,0.170168612191959,7,25,0.219,0.071,0.113
"60","CSUN",123,1401,590,4142,0.196,0.338242394978271,0.142443264123612,9,23,0.281,0.061,0.1
"61","Dartmouth",85,1114,432,3090,0.221,0.360517799352751,0.139805825242718,16,9,0.64,0.078,0.055
"62","Davidson",121,1552,645,4375,0.207,0.354742857142857,0.147428571428571,23,11,0.676,0.059,0.069
"63","Dayton",130,1656,659,4477,0.223,0.369890551708734,0.14719678356042,20,14,0.588,0.08,0.109
"64","Delaware",109,1410,654,3877,0.195,0.363683260252773,0.168687129223627,17,11,0.607,0.069,0.079
"65","Delaware St.",112,1357,518,3358,0.25,0.404109589041096,0.154258487194759,24,7,0.774,0.097,0.09
"66","Denver",117,1522,676,4070,0.208,0.373955773955774,0.166093366093366,19,12,0.613,0.069,0.097
"67","DePaul",118,1545,675,4360,0.2,0.354357798165138,0.154816513761468,10,20,0.333,0.041,0.055
"68","Drake",140,1938,653,5111,0.251,0.379182156133829,0.127763647035805,30,8,0.789,0.047,0.07
"69","Duke",116,1471,684,4035,0.195,0.36456009913259,0.169516728624535,16,13,0.552,0.072,0.125
"70","Duquesne",110,1254,609,3859,0.167,0.32495465146411,0.157812904897642,8,22,0.267,0.067,0.076
"71","East Carolina",123,1428,586,4125,0.204,0.346181818181818,0.142060606060606,12,20,0.375,0.064,0.087
"72","Eastern Ill.",120,1549,766,4314,0.182,0.359063514140009,0.177561427909133,16,16,0.5,0.06,0.076
"73","Eastern Ky.",113,1392,593,4208,0.19,0.330798479087452,0.140922053231939,15,15,0.5,0.046,0.047
"74","Eastern Mich.",115,1296,654,3869,0.166,0.33497027655725,0.16903592659602,5,25,0.167,0.067,0.091
"75","Eastern Wash.",110,1308,594,3713,0.192,0.352275787772691,0.159978454080259,11,18,0.379,0.072,0.1
"76","Elon",109,1302,584,3862,0.186,0.337131020196789,0.151216986017607,13,14,0.481,0.071,0.087
"77","ETSU",107,1368,555,3705,0.219,0.369230769230769,0.149797570850202,21,8,0.724,0.063,0.09
"78","Evansville",132,1688,679,4395,0.23,0.384072810011377,0.154493742889647,16,19,0.457,0.073,0.11
"79","Fairfield",114,1418,498,3757,0.245,0.377428799574128,0.132552568538728,25,7,0.781,0.058,0.08
"80","Fairleigh Dickinson",118,1372,624,3871,0.193,0.354430379746835,0.161198656677861,17,16,0.515,0.069,0.091
"81","FGCU",114,1536,549,3759,0.263,0.408619313647247,0.146049481245012,26,7,0.788,0.078,0.09
"82","FIU",108,1295,646,3748,0.173,0.345517609391676,0.172358591248666,8,21,0.276,0.061,0.095
"83","Fla. Atlantic",95,1261,511,3316,0.226,0.380277442702051,0.154101326899879,13,13,0.5,0.078,0.111
"84","Florida",113,1499,558,3465,0.272,0.432611832611833,0.161038961038961,25,6,0.806,0.066,0.105
"85","Florida A&M",121,1555,649,4075,0.222,0.38159509202454,0.159263803680982,21,13,0.618,0.075,0.077
"86","Florida St.",110,1386,494,3593,0.248,0.385750069579738,0.137489563039243,19,11,0.633,0.072,0.078
"87","Fordham",108,1352,544,4012,0.201,0.336989032901296,0.135593220338983,13,16,0.448,0.069,0.08
"88","Fresno St.",115,1347,587,3777,0.201,0.356632247815727,0.155414350013238,7,23,0.233,0.064,0.092
"89","Furman",114,1347,643,4185,0.168,0.321863799283154,0.153643966547192,11,19,0.367,0.056,0.059
"90","Ga. Southern",102,1237,498,3524,0.21,0.351021566401816,0.141316685584563,16,12,0.571,0.081,0.095
"91","Gardner-Webb",106,1245,575,3597,0.186,0.346121768140117,0.159855435084793,9,19,0.321,0.061,0.101
"92","George Mason",107,1241,620,3467,0.179,0.357946351312374,0.178828958753966,7,22,0.241,0.062,0.086
"93","George Washington",129,1538,679,4400,0.195,0.349545454545455,0.154318181818182,18,15,0.545,0.066,0.086
"94","Georgetown",108,1110,544,3690,0.153,0.300813008130081,0.147425474254743,4,25,0.138,0.058,0.105
"95","Georgia",120,1546,623,3905,0.236,0.395902688860435,0.159539052496799,23,8,0.742,0.076,0.109
"96","Georgia St.",110,1294,575,3793,0.19,0.341154758766148,0.151595043501186,7,22,0.241,0.074,0.105
"97","Georgia Tech",103,1419,508,3545,0.257,0.400282087447109,0.143300423131171,21,8,0.724,0.056,0.066
"98","Gonzaga",107,1054,478,3569,0.161,0.295320818156346,0.133931073129728,6,23,0.207,0.084,0.079
"99","Grambling",101,1210,594,3709,0.166,0.326233486114856,0.160150984092747,15,12,0.556,0.071,0.09
"100","Grand Canyon",110,1456,540,3898,0.235,0.373524884556183,0.138532580810672,18,11,0.621,0.068,0.114
"101","Green Bay",119,1583,540,4276,0.244,0.370205799812909,0.126286248830683,23,11,0.676,0.065,0.068
"102","Hampton",68,695,400,2217,0.133,0.313486693730266,0.18042399639152,3,16,0.158,0.061,0.063
"103","Hartford",85,730,521,2637,0.079,0.276829730754645,0.197572999620781,2,24,0.077,0.058,0.117
"104","Harvard",83,918,450,2553,0.183,0.35957696827262,0.176263219741481,5,17,0.227,0.07,0.096
"105","Hawaii",107,1486,532,3645,0.262,0.407681755829904,0.145953360768176,22,7,0.759,0.061,0.083
"106","High Point",116,1545,576,4071,0.238,0.379513633014001,0.141488577745026,23,10,0.697,0.063,0.083
"107","Hofstra",108,1362,585,3663,0.212,0.371826371826372,0.15970515970516,17,12,0.586,0.071,0.1
"108","Holy Cross",92,898,552,3117,0.111,0.28809752967597,0.177093358999038,3,24,0.111,0.081,0.105
"109","Houston",127,1759,620,4575,0.249,0.38448087431694,0.13551912568306,30,4,0.882,0.064,0.099
"110","Houston Christian",126,1732,642,4704,0.232,0.368197278911565,0.136479591836735,23,11,0.676,0.056,0.063
"111","Howard",106,1379,525,3351,0.255,0.411518949567293,0.156669650850492,20,10,0.667,0.086,0.121
"112","Idaho",98,1082,518,3071,0.184,0.352328231846304,0.168674698795181,4,24,0.143,0.062,0.108
"113","Idaho St.",118,1355,634,4177,0.173,0.324395499162078,0.15178357672971,13,17,0.433,0.064,0.065
"114","Illinois",109,1396,589,3605,0.224,0.387239944521498,0.163384188626907,15,15,0.5,0.078,0.135
"115","Illinois St.",109,1385,634,3966,0.189,0.349218356026223,0.159858799798285,12,17,0.414,0.07,0.1
"116","Indiana",123,1499,711,4104,0.192,0.365253411306043,0.173245614035088,16,16,0.5,0.079,0.134
"117","Indiana St.",93,1052,490,3489,0.161,0.301519059902551,0.140441387216968,3,23,0.115,0.047,0.048
"118","Iona",103,1271,562,3919,0.181,0.324317427915285,0.143403929573871,17,12,0.586,0.075,0.087
"119","Iowa",113,1387,654,3901,0.188,0.35554985901051,0.167649320687003,10,21,0.323,0.06,0.091
"120","Iowa St.",128,1612,676,4413,0.212,0.365284387038296,0.153183775209608,20,12,0.625,0.059,0.105
"121","IUPUI",114,1337,679,4068,0.162,0.32866273352999,0.166912487708948,9,21,0.3,0.073,0.11
"122","Jackson St.",98,1227,531,3300,0.211,0.371818181818182,0.160909090909091,13,17,0.433,0.067,0.076
"123","Jacksonville",105,1217,472,3619,0.206,0.33628074053606,0.130422768720641,11,17,0.393,0.072,0.12
"124","Jacksonville St.",110,1494,472,3564,0.287,0.419191919191919,0.132435465768799,24,6,0.8,0.074,0.093
"125","James Madison",107,1405,446,3556,0.27,0.395106861642295,0.125421822272216,24,5,0.828,0.073,0.085
"126","Kansas",111,1394,487,3665,0.247,0.380354706684857,0.132878581173261,19,11,0.633,0.054,0.091
"127","Kansas City",120,1477,648,4337,0.191,0.34055798939359,0.149412035969564,10,21,0.323,0.058,0.085
"128","Kansas St.",110,1363,555,3880,0.208,0.351288659793814,0.143041237113402,15,14,0.517,0.07,0.097
"129","Kennesaw St.",101,1355,485,3540,0.246,0.382768361581921,0.137005649717514,18,10,0.643,0.075,0.101
"130","Kent St.",109,1363,562,3837,0.209,0.355225436538963,0.146468595256711,13,16,0.448,0.057,0.083
"131","Kentucky",106,1564,497,3741,0.285,0.418070034750067,0.132852178561882,22,8,0.733,0.069,0.102
"132","Lafayette",82,978,467,2832,0.18,0.345338983050847,0.164901129943503,8,15,0.348,0.105,0.097
"133","Lamar University",113,1372,621,4080,0.184,0.336274509803922,0.152205882352941,9,20,0.31,0.079,0.093
"134","Lehigh",107,1199,469,3386,0.216,0.354105138806852,0.138511518015357,13,15,0.464,0.082,0.111
"135","Liberty",123,1704,688,4187,0.243,0.406973967040841,0.164318127537616,23,9,0.719,0.063,0.082
"136","Lipscomb",103,1404,534,3662,0.238,0.383397050791917,0.145821955215729,16,13,0.552,0.08,0.146
"137","Little Rock",117,1260,694,4076,0.139,0.309126594700687,0.170264965652601,7,24,0.226,0.056,0.083
"138","LIU",97,1130,473,3291,0.2,0.343360680644181,0.143725311455485,14,13,0.519,0.069,0.085
"139","LMU (CA)",104,1319,498,3161,0.26,0.417273014868712,0.157545080670674,18,10,0.643,0.071,0.125
"140","Long Beach St.",104,1389,568,3685,0.223,0.376933514246947,0.154138398914518,19,9,0.679,0.055,0.112
"141","Louisiana",111,1360,554,3861,0.209,0.352240352240352,0.143486143486143,15,13,0.536,0.062,0.089
"142","Louisiana Tech",105,1173,563,3710,0.164,0.316172506738544,0.151752021563342,11,18,0.379,0.068,0.097
"143","Louisville",119,1547,504,3659,0.285,0.422793112872369,0.137742552610003,31,3,0.912,0.07,0.1
"144","Loyola Chicago",129,1771,684,4389,0.248,0.403508771929825,0.155844155844156,25,9,0.735,0.071,0.087
"145","Loyola Maryland",92,1256,623,3640,0.174,0.345054945054945,0.171153846153846,11,14,0.44,0.047,0.077
"146","LSU",119,1506,587,4196,0.219,0.358913250714967,0.139895138226883,16,14,0.533,0.047,0.09
