transition_labels,counts_total,probs_total,counts_rotation1,probs_rotation1,counts_rotation2,probs_rotation2,counts_rotation3,probs_rotation3,counts_rotation4,probs_rotation4,counts_rotation5,probs_rotation5,counts_rotation6,probs_rotation6
D1_D0,35,0.124113475177305,9,0.169811320754717,2,0.0645161290322581,6,0.109090909090909,5,0.111111111111111,9,0.173076923076923,4,0.0869565217391304
D1_D1,12,0.0425531914893617,3,0.0566037735849057,1,0.032258064516129,2,0.0363636363636364,0,0,4,0.0769230769230769,2,0.0434782608695652
D1_D2,46,0.163120567375887,9,0.169811320754717,5,0.161290322580645,13,0.236363636363636,4,0.0888888888888889,7,0.134615384615385,8,0.173913043478261
D1_D3,49,0.173758865248227,5,0.0943396226415094,7,0.225806451612903,11,0.2,8,0.177777777777778,12,0.230769230769231,6,0.130434782608696
D1_W,53,0.187943262411348,12,0.226415094339623,9,0.290322580645161,9,0.163636363636364,11,0.244444444444444,5,0.0961538461538462,7,0.152173913043478
D1_L,87,0.308510638297872,15,0.283018867924528,7,0.225806451612903,14,0.254545454545455,17,0.377777777777778,15,0.288461538461538,19,0.41304347826087
D2_D0,59,0.0703218116805721,16,0.0883977900552486,7,0.0648148148148148,4,0.0317460317460317,12,0.115384615384615,12,0.0754716981132075,8,0.0496894409937888
D2_D1,38,0.0452920143027414,12,0.0662983425414365,4,0.037037037037037,5,0.0396825396825397,2,0.0192307692307692,8,0.050314465408805,7,0.0434782608695652
D2_D2,97,0.115613825983313,29,0.160220994475138,10,0.0925925925925926,11,0.0873015873015873,7,0.0673076923076923,24,0.150943396226415,16,0.0993788819875776
D2_D3,135,0.160905840286055,22,0.121546961325967,19,0.175925925925926,28,0.222222222222222,13,0.125,27,0.169811320754717,26,0.161490683229814
D2_W,306,0.364719904648391,66,0.364640883977901,38,0.351851851851852,47,0.373015873015873,41,0.394230769230769,51,0.320754716981132,63,0.391304347826087
D2_L,204,0.243146603098927,36,0.198895027624309,30,0.277777777777778,31,0.246031746031746,29,0.278846153846154,37,0.232704402515723,41,0.254658385093168
D3_D0,64,0.0601503759398496,11,0.064327485380117,14,0.0790960451977401,10,0.0505050505050505,7,0.0426829268292683,9,0.0542168674698795,13,0.0691489361702128
D3_D1,43,0.0404135338345865,5,0.0292397660818713,5,0.0282485875706215,11,0.0555555555555556,7,0.0426829268292683,7,0.0421686746987952,8,0.0425531914893617
D3_D2,96,0.0902255639097744,17,0.0994152046783626,17,0.096045197740113,22,0.111111111111111,20,0.121951219512195,8,0.0481927710843373,12,0.0638297872340426
D3_D3,145,0.136278195488722,26,0.152046783625731,26,0.146892655367232,27,0.136363636363636,19,0.115853658536585,26,0.156626506024096,21,0.111702127659574
D3_W,508,0.477443609022556,84,0.491228070175439,88,0.497175141242938,88,0.444444444444444,74,0.451219512195122,80,0.481927710843373,94,0.5
D3_L,208,0.195488721804511,28,0.16374269005848,27,0.152542372881356,40,0.202020202020202,37,0.225609756097561,36,0.216867469879518,40,0.212765957446809
D0,565,0.205454545454545,114,0.219653179190751,91,0.223587223587224,74,0.163355408388521,93,0.229064039408867,96,0.202959830866808,97,0.197154471544715
dig_score,5152,1.87345454545455,928,1.78805394990366,778,1.91154791154791,901,1.98896247240618,745,1.83497536945813,868,1.83509513742072,932,1.89430894308943
total_digs,2750,1,519,0.188727272727273,407,0.148,453,0.164727272727273,406,0.147636363636364,473,0.172,492,0.178909090909091
total_D1_digs,282,0.102545454545455,53,0.102119460500963,31,0.0761670761670762,55,0.121412803532009,45,0.110837438423645,52,0.109936575052854,46,0.0934959349593496
total_D2_digs,839,0.305090909090909,181,0.348747591522158,108,0.265356265356265,126,0.278145695364238,104,0.25615763546798,159,0.33615221987315,161,0.327235772357724
total_D3_digs,1064,0.386909090909091,171,0.329479768786127,177,0.434889434889435,198,0.437086092715232,164,0.403940886699507,166,0.350951374207188,188,0.382113821138211
