transition_labels,counts_total,probs_total,counts_rotation1,probs_rotation1,counts_rotation2,probs_rotation2,counts_rotation3,probs_rotation3,counts_rotation4,probs_rotation4,counts_rotation5,probs_rotation5,counts_rotation6,probs_rotation6
D1_D0,8,0.177777777777778,1,0.2,1,0.125,0,0,2,0.25,2,0.166666666666667,2,0.25
D1_D1,2,0.0444444444444444,1,0.2,0,0,0,0,0,0,0,0,1,0.125
D1_D2,5,0.111111111111111,0,0,2,0.25,0,0,2,0.25,0,0,1,0.125
D1_D3,5,0.111111111111111,1,0.2,1,0.125,0,0,0,0,1,0.0833333333333333,2,0.25
D1_W,8,0.177777777777778,0,0,1,0.125,2,0.5,3,0.375,2,0.166666666666667,0,0
D1_L,17,0.377777777777778,2,0.4,3,0.375,2,0.5,1,0.125,7,0.583333333333333,2,0.25
D2_D0,11,0.104761904761905,0,0,0,0,2,0.2,5,0.2,3,0.136363636363636,1,0.04
D2_D1,6,0.0571428571428571,1,0.1,0,0,0,0,0,0,1,0.0454545454545455,4,0.16
D2_D2,21,0.2,4,0.4,2,0.153846153846154,2,0.2,5,0.2,2,0.0909090909090909,6,0.24
D2_D3,9,0.0857142857142857,1,0.1,2,0.153846153846154,0,0,1,0.04,2,0.0909090909090909,3,0.12
D2_W,24,0.228571428571429,2,0.2,2,0.153846153846154,2,0.2,5,0.2,7,0.318181818181818,6,0.24
D2_L,34,0.323809523809524,2,0.2,7,0.538461538461538,4,0.4,9,0.36,7,0.318181818181818,5,0.2
D3_D0,9,0.0841121495327103,0,0,2,0.142857142857143,0,0,3,0.1,2,0.1,2,0.0909090909090909
D3_D1,3,0.0280373831775701,1,0.0833333333333333,1,0.0714285714285714,0,0,1,0.0333333333333333,0,0,0,0
D3_D2,14,0.130841121495327,1,0.0833333333333333,1,0.0714285714285714,2,0.222222222222222,5,0.166666666666667,2,0.1,3,0.136363636363636
D3_D3,5,0.0467289719626168,0,0,1,0.0714285714285714,0,0,1,0.0333333333333333,3,0.15,0,0
D3_W,51,0.476635514018692,7,0.583333333333333,5,0.357142857142857,6,0.666666666666667,11,0.366666666666667,10,0.5,12,0.545454545454545
D3_L,25,0.233644859813084,3,0.25,4,0.285714285714286,1,0.111111111111111,9,0.3,3,0.15,5,0.227272727272727
D0,77,0.230538922155689,9,0.25,3,0.0789473684210526,8,0.258064516129032,22,0.258823529411765,22,0.289473684210526,13,0.191176470588235
dig_score,576,1.72455089820359,61,1.69444444444444,76,2,51,1.64516129032258,148,1.74117647058824,116,1.52631578947368,124,1.82352941176471
total_digs,334,1,36,0.107784431137725,38,0.11377245508982,31,0.092814371257485,85,0.254491017964072,76,0.227544910179641,68,0.203592814371257
total_D1_digs,45,0.134730538922156,5,0.138888888888889,8,0.210526315789474,4,0.129032258064516,8,0.0941176470588235,12,0.157894736842105,8,0.117647058823529
total_D2_digs,105,0.31437125748503,10,0.277777777777778,13,0.342105263157895,10,0.32258064516129,25,0.294117647058824,22,0.289473684210526,25,0.367647058823529
total_D3_digs,107,0.320359281437126,12,0.333333333333333,14,0.368421052631579,9,0.290322580645161,30,0.352941176470588,20,0.263157894736842,22,0.323529411764706
