transition_labels,counts_total,probs_total,counts_rotation1,probs_rotation1,counts_rotation2,probs_rotation2,counts_rotation3,probs_rotation3,counts_rotation4,probs_rotation4,counts_rotation5,probs_rotation5,counts_rotation6,probs_rotation6
D1_D0,5,0.078125,1,0.111111111111111,0,0,1,0.0833333333333333,1,0.0769230769230769,0,0,2,0.133333333333333
D1_D1,3,0.046875,1,0.111111111111111,0,0,1,0.0833333333333333,0,0,1,0.0769230769230769,0,0
D1_D2,3,0.046875,0,0,0,0,1,0.0833333333333333,1,0.0769230769230769,0,0,1,0.0666666666666667
D1_D3,12,0.1875,2,0.222222222222222,1,0.5,2,0.166666666666667,4,0.307692307692308,2,0.153846153846154,1,0.0666666666666667
D1_W,16,0.25,1,0.111111111111111,1,0.5,2,0.166666666666667,4,0.307692307692308,6,0.461538461538462,2,0.133333333333333
D1_L,25,0.390625,4,0.444444444444444,0,0,5,0.416666666666667,3,0.230769230769231,4,0.307692307692308,9,0.6
D2_D0,8,0.0555555555555556,1,0.0294117647058824,0,0,2,0.111111111111111,0,0,1,0.0416666666666667,4,0.137931034482759
D2_D1,4,0.0277777777777778,0,0,0,0,0,0,1,0.0526315789473684,2,0.0833333333333333,1,0.0344827586206897
D2_D2,17,0.118055555555556,7,0.205882352941176,3,0.15,1,0.0555555555555556,2,0.105263157894737,2,0.0833333333333333,2,0.0689655172413793
D2_D3,28,0.194444444444444,3,0.0882352941176471,5,0.25,3,0.166666666666667,3,0.157894736842105,9,0.375,5,0.172413793103448
D2_W,62,0.430555555555556,16,0.470588235294118,10,0.5,10,0.555555555555556,10,0.526315789473684,8,0.333333333333333,8,0.275862068965517
D2_L,25,0.173611111111111,7,0.205882352941176,2,0.1,2,0.111111111111111,3,0.157894736842105,2,0.0833333333333333,9,0.310344827586207
D3_D0,21,0.06,9,0.138461538461538,5,0.125,1,0.0196078431372549,0,0,3,0.0517241379310345,3,0.0375
D3_D1,17,0.0485714285714286,2,0.0307692307692308,1,0.025,3,0.0588235294117647,3,0.0535714285714286,3,0.0517241379310345,5,0.0625
D3_D2,31,0.0885714285714286,6,0.0923076923076923,4,0.1,4,0.0784313725490196,8,0.142857142857143,3,0.0517241379310345,6,0.075
D3_D3,42,0.12,8,0.123076923076923,7,0.175,7,0.137254901960784,6,0.107142857142857,6,0.103448275862069,8,0.1
D3_W,158,0.451428571428571,26,0.4,17,0.425,23,0.450980392156863,27,0.482142857142857,26,0.448275862068966,39,0.4875
D3_L,81,0.231428571428571,14,0.215384615384615,6,0.15,13,0.254901960784314,12,0.214285714285714,17,0.293103448275862,19,0.2375
D0,105,0.158371040723982,22,0.169230769230769,17,0.215189873417722,13,0.138297872340426,18,0.169811320754717,15,0.136363636363636,20,0.138888888888889
dig_score,1402,2.11463046757164,272,2.09230769230769,162,2.05063291139241,201,2.13829787234043,219,2.06603773584906,235,2.13636363636364,313,2.17361111111111
total_digs,663,1,130,0.196078431372549,79,0.119155354449472,94,0.141779788838612,106,0.159879336349925,110,0.165912518853695,144,0.217194570135747
total_D1_digs,64,0.0965309200603318,9,0.0692307692307692,2,0.0253164556962025,12,0.127659574468085,13,0.122641509433962,13,0.118181818181818,15,0.104166666666667
total_D2_digs,144,0.217194570135747,34,0.261538461538462,20,0.253164556962025,18,0.191489361702128,19,0.179245283018868,24,0.218181818181818,29,0.201388888888889
total_D3_digs,350,0.52790346907994,65,0.5,40,0.506329113924051,51,0.542553191489362,56,0.528301886792453,58,0.527272727272727,80,0.555555555555556
